Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
CKB1999WRNO,2020-01-31-13-15-39,1,1,0.6796238405411402,right,probe,ambiguous-switch,-1,-12,right,right,0.764
CKB1999WRNO,2020-01-31-13-15-39,1,2,0.6309898640812729,right,both,ambiguous-switch,64,-12,right,right,0.393
CKB1999WRNO,2020-01-31-13-15-39,1,3,0.5249520609155882,left,probe,ambiguous-switch,-1,-18,left,left,0.565
CKB1999WRNO,2020-01-31-13-15-39,1,4,0.6900302924267975,left,both,ambiguous-switch,57,-18,left,left,0.375
CKB1999WRNO,2020-01-31-13-15-39,1,5,0.5001462572253039,left,probe,biased-switch,-1,12,left,left,0.51
CKB1999WRNO,2020-01-31-13-15-39,1,6,0.6620945603055982,left,both,biased-switch,60,12,left,left,0.493
CKB1999WRNO,2020-01-31-13-15-39,1,7,0.5105958266864242,right,probe,ambiguous-stable,-1,-12,right,right,0.679
CKB1999WRNO,2020-01-31-13-15-39,1,8,0.5873850049051248,right,both,ambiguous-stable,66,-12,left,right,0.484
CKB1999WRNO,2020-01-31-13-15-39,1,9,0.542715847468133,left,probe,biased-switch,-1,-18,left,left,0.567
CKB1999WRNO,2020-01-31-13-15-39,1,10,0.6657769950720505,left,both,biased-switch,61,-18,left,left,0.452
CKB1999WRNO,2020-01-31-13-15-39,1,11,0.5351320668903263,right,probe,ambiguous-stable,-1,-18,right,right,0.541
CKB1999WRNO,2020-01-31-13-15-39,1,12,0.6769461658514805,right,both,ambiguous-stable,55,-18,left,right,0.468
CKB1999WRNO,2020-01-31-13-15-39,1,13,0.5843297891742821,right,probe,ambiguous-switch,-1,12,right,right,0.673
CKB1999WRNO,2020-01-31-13-15-39,1,14,0.6121918519019405,right,both,ambiguous-switch,65,12,right,right,0.45
CKB1999WRNO,2020-01-31-13-15-39,1,15,0.5725062119685876,right,probe,ambiguous-switch,-1,18,right,right,0.561
CKB1999WRNO,2020-01-31-13-15-39,1,16,0.6830402467109487,right,both,ambiguous-switch,62,18,right,right,0.448
CKB1999WRNO,2020-01-31-13-15-39,1,17,0.65062794376397,right,probe,biased-switch,-1,-12,right,right,0.599
CKB1999WRNO,2020-01-31-13-15-39,1,18,0.552349405449739,right,both,biased-switch,59,-12,right,right,0.794
CKB1999WRNO,2020-01-31-13-15-39,1,19,0.6680573128374365,right,probe,biased-switch,-1,-3,right,right,0.505
CKB1999WRNO,2020-01-31-13-15-39,1,20,0.5966045315671008,right,both,biased-switch,62,-3,right,right,0.503
CKB1999WRNO,2020-01-31-13-15-39,1,21,0.5556992411764635,left,probe,ambiguous-switch,-1,24,left,left,0.56
CKB1999WRNO,2020-01-31-13-15-39,1,22,0.6003778207143778,left,both,ambiguous-switch,64,24,left,left,0.479
CKB1999WRNO,2020-01-31-13-15-39,1,23,0.5972028331782322,right,probe,ambiguous-stable,-1,0,right,right,0.703
CKB1999WRNO,2020-01-31-13-15-39,1,24,0.5253727828639235,right,both,ambiguous-stable,59,0,left,right,0.324
CKB1999WRNO,2020-01-31-13-15-39,1,25,0.6847002783113685,left,probe,ambiguous-stable,-1,18,left,left,0.707
CKB1999WRNO,2020-01-31-13-15-39,1,26,0.5258094640441022,left,both,ambiguous-stable,63,18,right,left,0.351
CKB1999WRNO,2020-01-31-13-15-39,1,27,0.5106239183808232,left,probe,biased-switch,-1,6,left,left,0.409
CKB1999WRNO,2020-01-31-13-15-39,1,28,0.5809844777253889,left,both,biased-switch,66,6,left,left,7.128
CKB1999WRNO,2020-01-31-13-15-39,1,29,0.6687585761337806,left,probe,ambiguous-stable,-1,24,left,left,0.542
CKB1999WRNO,2020-01-31-13-15-39,1,30,0.6504975809112005,left,both,ambiguous-stable,61,24,right,left,0.408
CKB1999WRNO,2020-01-31-13-15-39,1,31,0.6323457982070239,left,probe,ambiguous-switch,-1,3,left,left,0.555
CKB1999WRNO,2020-01-31-13-15-39,1,32,0.5203870593318409,left,both,ambiguous-switch,63,3,left,left,0.392
CKB1999WRNO,2020-01-31-13-15-39,1,33,0.5498822027955429,left,probe,ambiguous-switch,-1,-3,left,left,0.697
CKB1999WRNO,2020-01-31-13-15-39,1,34,0.5938552027118731,left,both,ambiguous-switch,54,-3,left,left,0.325
CKB1999WRNO,2020-01-31-13-15-39,1,35,0.6328094718337862,right,probe,ambiguous-stable,-1,12,right,right,1.057
CKB1999WRNO,2020-01-31-13-15-39,1,36,0.5134730552498824,right,both,ambiguous-stable,63,12,left,right,0.563
CKB1999WRNO,2020-01-31-13-15-39,1,37,0.5406607037596112,left,probe,biased-switch,-1,3,left,left,0.579
CKB1999WRNO,2020-01-31-13-15-39,1,38,0.6297517780580564,left,both,biased-switch,61,3,left,left,4.169
CKB1999WRNO,2020-01-31-13-15-39,1,39,0.6760154401722224,left,probe,ambiguous-stable,-1,6,left,left,0.567
CKB1999WRNO,2020-01-31-13-15-39,1,40,0.5552409008268178,left,both,ambiguous-stable,56,6,right,left,0.327
CKB1999WRNO,2020-01-31-13-15-39,1,41,0.6062428212888463,right,probe,biased-switch,-1,-6,right,right,0.512
CKB1999WRNO,2020-01-31-13-15-39,1,42,0.6765859263591902,right,both,biased-switch,58,-6,right,right,0.271
CKB1999WRNO,2020-01-31-13-15-39,1,43,0.5312348641792355,left,probe,ambiguous-stable,-1,3,left,left,0.527
CKB1999WRNO,2020-01-31-13-15-39,1,44,0.5034737222835415,left,both,ambiguous-stable,55,3,right,left,3.306
CKB1999WRNO,2020-01-31-13-15-39,1,45,0.6733158274143888,left,probe,biased-switch,-1,24,left,left,0.755
CKB1999WRNO,2020-01-31-13-15-39,1,46,0.6691205668395173,left,both,biased-switch,65,24,left,left,0.341
CKB1999WRNO,2020-01-31-13-15-39,1,47,0.5067184836372425,right,probe,ambiguous-switch,-1,-6,right,right,0.802
CKB1999WRNO,2020-01-31-13-15-39,1,48,0.6451016487726742,right,both,ambiguous-switch,61,-6,right,right,0.412
CKB1999WRNO,2020-01-31-13-15-39,1,49,0.5692645340462644,left,probe,ambiguous-stable,-1,-3,left,left,0.598
CKB1999WRNO,2020-01-31-13-15-39,1,50,0.5707387114335172,left,both,ambiguous-stable,59,-3,right,left,0.297
CKB1999WRNO,2020-01-31-13-15-39,1,51,0.6483740311721294,right,probe,ambiguous-switch,-1,6,right,right,0.658
CKB1999WRNO,2020-01-31-13-15-39,1,52,0.5808746079324615,right,both,ambiguous-switch,56,6,right,right,4.052
CKB1999WRNO,2020-01-31-13-15-39,1,53,0.551075384097403,right,probe,biased-switch,-1,18,right,right,0.591
CKB1999WRNO,2020-01-31-13-15-39,1,54,0.6757422319837096,right,both,biased-switch,64,18,right,right,3.031
CKB1999WRNO,2020-01-31-13-15-39,1,55,0.5182491277410171,left,probe,ambiguous-switch,-1,0,left,left,0.408
CKB1999WRNO,2020-01-31-13-15-39,1,56,0.5375077573075376,left,both,ambiguous-switch,66,0,left,left,0.359
CKB1999WRNO,2020-01-31-13-15-39,1,57,0.5581104618288045,right,probe,biased-switch,-1,0,right,right,0.731
CKB1999WRNO,2020-01-31-13-15-39,1,58,0.6160500302214494,right,both,biased-switch,61,0,right,right,0.304
CKB1999WRNO,2020-01-31-13-15-39,1,59,0.6815823694503409,right,probe,ambiguous-stable,-1,-6,right,right,1.322
CKB1999WRNO,2020-01-31-13-15-39,1,60,0.6461179613346065,right,both,ambiguous-stable,65,-6,left,right,0.101
CKB1999WRNO,2020-01-31-13-15-39,2,1,0.507077961402413,left,probe,ambiguous-stable,-1,-12,left,left,3.74
CKB1999WRNO,2020-01-31-13-15-39,2,2,0.6483274788224137,left,both,ambiguous-stable,58,-12,right,left,4.203
CKB1999WRNO,2020-01-31-13-15-39,2,3,0.5059571352874369,left,probe,biased-switch,-1,24,left,left,0.364
CKB1999WRNO,2020-01-31-13-15-39,2,4,0.6914705547180682,left,both,biased-switch,62,24,left,left,0.075
CKB1999WRNO,2020-01-31-13-15-39,2,5,0.6731046408701864,left,probe,biased-switch,-1,3,left,left,0.566
CKB1999WRNO,2020-01-31-13-15-39,2,6,0.626662735511417,left,both,biased-switch,65,3,left,left,0.451
CKB1999WRNO,2020-01-31-13-15-39,2,7,0.573924242729706,right,probe,biased-switch,-1,-18,right,right,0.492
CKB1999WRNO,2020-01-31-13-15-39,2,8,0.6602119993867731,right,both,biased-switch,62,-18,right,right,0.312
CKB1999WRNO,2020-01-31-13-15-39,2,9,0.5288850494696722,left,probe,ambiguous-switch,-1,0,left,left,0.533
CKB1999WRNO,2020-01-31-13-15-39,2,10,0.6349171286966967,left,both,ambiguous-switch,59,0,left,left,0.525
CKB1999WRNO,2020-01-31-13-15-39,2,11,0.6104331113064695,right,probe,ambiguous-switch,-1,-18,right,right,0.637
CKB1999WRNO,2020-01-31-13-15-39,2,12,0.561250817862437,right,both,ambiguous-switch,61,-18,right,right,0.588
CKB1999WRNO,2020-01-31-13-15-39,2,13,0.62913683702597,left,probe,ambiguous-stable,-1,-3,left,left,0.572
CKB1999WRNO,2020-01-31-13-15-39,2,14,0.6507150313398652,left,both,ambiguous-stable,65,-3,right,left,0.601
CKB1999WRNO,2020-01-31-13-15-39,2,15,0.6126678221615759,left,probe,biased-switch,-1,0,left,left,0.679
CKB1999WRNO,2020-01-31-13-15-39,2,16,0.616083721310947,left,both,biased-switch,56,0,left,left,0.807
CKB1999WRNO,2020-01-31-13-15-39,2,17,0.5371940348201081,right,probe,ambiguous-stable,-1,-18,right,right,0.587
CKB1999WRNO,2020-01-31-13-15-39,2,18,0.6408992511798973,right,both,ambiguous-stable,61,-18,left,right,0.551
CKB1999WRNO,2020-01-31-13-15-39,2,19,0.67606938782904,left,probe,ambiguous-switch,-1,-6,left,left,0.44
CKB1999WRNO,2020-01-31-13-15-39,2,20,0.6896686289472882,left,both,ambiguous-switch,61,-6,left,left,0.362
CKB1999WRNO,2020-01-31-13-15-39,2,21,0.5747158674683425,left,probe,biased-switch,-1,-12,left,left,0.499
CKB1999WRNO,2020-01-31-13-15-39,2,22,0.6912839924089659,left,both,biased-switch,61,-12,left,left,0.553
CKB1999WRNO,2020-01-31-13-15-39,2,23,0.560950320250641,right,probe,ambiguous-switch,-1,18,right,right,1.144
CKB1999WRNO,2020-01-31-13-15-39,2,24,0.6277888742228346,right,both,ambiguous-switch,56,18,right,right,0.44
CKB1999WRNO,2020-01-31-13-15-39,2,25,0.5549177231375203,right,probe,biased-switch,-1,6,right,right,0.513
CKB1999WRNO,2020-01-31-13-15-39,2,26,0.6676862967338613,right,both,biased-switch,63,6,right,right,0.639
CKB1999WRNO,2020-01-31-13-15-39,2,27,0.6649736791768228,right,probe,ambiguous-stable,-1,3,right,right,0.59
CKB1999WRNO,2020-01-31-13-15-39,2,28,0.5514319151165588,right,both,ambiguous-stable,60,3,left,right,0.347
CKB1999WRNO,2020-01-31-13-15-39,2,29,0.5307134388235784,right,probe,ambiguous-switch,-1,3,right,right,0.539
CKB1999WRNO,2020-01-31-13-15-39,2,30,0.6931767818484309,right,both,ambiguous-switch,65,3,right,right,0.551
CKB1999WRNO,2020-01-31-13-15-39,2,31,0.5814401513456512,right,probe,ambiguous-stable,-1,0,right,right,0.598
CKB1999WRNO,2020-01-31-13-15-39,2,32,0.5404259066255609,right,both,ambiguous-stable,57,0,left,right,0.835
CKB1999WRNO,2020-01-31-13-15-39,2,33,0.6222272729586195,left,probe,biased-switch,-1,-6,left,left,0.655
CKB1999WRNO,2020-01-31-13-15-39,2,34,0.5907493287806524,left,both,biased-switch,63,-6,left,left,0.456
CKB1999WRNO,2020-01-31-13-15-39,2,35,0.6939001265122287,left,probe,ambiguous-stable,-1,6,left,left,0.488
CKB1999WRNO,2020-01-31-13-15-39,2,36,0.6347190476544261,left,both,ambiguous-stable,56,6,right,left,0.448
CKB1999WRNO,2020-01-31-13-15-39,2,37,0.6842596990747049,left,probe,ambiguous-switch,-1,24,left,left,0.525
CKB1999WRNO,2020-01-31-13-15-39,2,38,0.5353444805086733,left,both,ambiguous-switch,63,24,left,left,0.565
CKB1999WRNO,2020-01-31-13-15-39,2,39,0.6567488400680702,right,probe,ambiguous-stable,-1,-6,right,right,0.673
CKB1999WRNO,2020-01-31-13-15-39,2,40,0.6399761494321576,right,both,ambiguous-stable,61,-6,left,right,0.558
CKB1999WRNO,2020-01-31-13-15-39,2,41,0.6854268754386199,right,probe,ambiguous-switch,-1,12,right,right,0.656
CKB1999WRNO,2020-01-31-13-15-39,2,42,0.6904533606856278,right,both,ambiguous-switch,58,12,right,right,0.578
CKB1999WRNO,2020-01-31-13-15-39,2,43,0.5302176563072302,left,probe,ambiguous-switch,-1,-3,left,left,0.794
CKB1999WRNO,2020-01-31-13-15-39,2,44,0.6582298786765841,left,both,ambiguous-switch,56,-3,left,left,0.474
CKB1999WRNO,2020-01-31-13-15-39,2,45,0.5158968777113113,right,probe,ambiguous-switch,-1,-12,right,right,0.809
CKB1999WRNO,2020-01-31-13-15-39,2,46,0.5131430773165837,right,both,ambiguous-switch,55,-12,right,right,0.541
CKB1999WRNO,2020-01-31-13-15-39,2,47,0.6516635561281658,left,probe,ambiguous-switch,-1,6,right,right,2.09
CKB1999WRNO,2020-01-31-13-15-39,2,48,0.5733248532671551,left,both,ambiguous-switch,57,6,right,left,0.672
CKB1999WRNO,2020-01-31-13-15-39,2,49,0.5595402175897182,right,probe,biased-switch,-1,12,right,right,0.688
CKB1999WRNO,2020-01-31-13-15-39,2,50,0.622535931809112,right,both,biased-switch,59,12,right,right,0.566
CKB1999WRNO,2020-01-31-13-15-39,2,51,0.6033242932200276,left,probe,ambiguous-stable,-1,12,left,left,0.579
CKB1999WRNO,2020-01-31-13-15-39,2,52,0.5411809288600636,left,both,ambiguous-stable,55,12,right,left,0.443
CKB1999WRNO,2020-01-31-13-15-39,2,53,0.5426654056460789,right,probe,biased-switch,-1,-3,right,right,0.716
CKB1999WRNO,2020-01-31-13-15-39,2,54,0.6799187042754085,right,both,biased-switch,62,-3,right,right,0.567
CKB1999WRNO,2020-01-31-13-15-39,2,55,0.64026522671998,left,probe,ambiguous-stable,-1,18,left,left,0.788
CKB1999WRNO,2020-01-31-13-15-39,2,56,0.6245027895620748,left,both,ambiguous-stable,60,18,right,left,0.663
CKB1999WRNO,2020-01-31-13-15-39,2,57,0.5670550050491882,left,probe,ambiguous-stable,-1,24,left,left,0.755
CKB1999WRNO,2020-01-31-13-15-39,2,58,0.5383768051424189,left,both,ambiguous-stable,59,24,right,left,0.564
CKB1999WRNO,2020-01-31-13-15-39,2,59,0.6411603169751096,left,probe,biased-switch,-1,18,left,left,0.891
CKB1999WRNO,2020-01-31-13-15-39,2,60,0.5436935732261776,left,both,biased-switch,64,18,left,left,0.635
CKB1999WRNO,2020-01-31-13-15-39,3,1,0.6273679315435471,left,probe,biased-switch,-1,0,left,left,0.627
CKB1999WRNO,2020-01-31-13-15-39,3,2,0.564091510771025,left,both,biased-switch,65,0,left,left,0.554
CKB1999WRNO,2020-01-31-13-15-39,3,3,0.691840655283154,right,probe,ambiguous-stable,-1,-6,right,right,0.786
CKB1999WRNO,2020-01-31-13-15-39,3,4,0.6443315637223272,right,both,ambiguous-stable,57,-6,left,right,0.976
CKB1999WRNO,2020-01-31-13-15-39,3,5,0.5939315874039948,left,probe,ambiguous-switch,-1,6,left,left,0.881
CKB1999WRNO,2020-01-31-13-15-39,3,6,0.5588253300990731,left,both,ambiguous-switch,60,6,left,left,0.514
CKB1999WRNO,2020-01-31-13-15-39,3,7,0.5143538679319619,left,probe,biased-switch,-1,-18,left,left,0.809
CKB1999WRNO,2020-01-31-13-15-39,3,8,0.6529510614642994,left,both,biased-switch,59,-18,left,left,0.633
CKB1999WRNO,2020-01-31-13-15-39,3,9,0.6647611042383765,right,probe,ambiguous-switch,-1,3,right,right,0.715
CKB1999WRNO,2020-01-31-13-15-39,3,10,0.5535049040622734,right,both,ambiguous-switch,59,3,right,right,0.661
CKB1999WRNO,2020-01-31-13-15-39,3,11,0.6197923210796261,left,probe,biased-switch,-1,24,left,left,0.799
CKB1999WRNO,2020-01-31-13-15-39,3,12,0.6132591503857634,left,both,biased-switch,55,24,left,left,0.864
CKB1999WRNO,2020-01-31-13-15-39,3,13,0.6129557661169297,right,probe,biased-switch,-1,12,right,right,0.613
CKB1999WRNO,2020-01-31-13-15-39,3,14,0.6137264307925038,right,both,biased-switch,59,12,right,right,1.095
CKB1999WRNO,2020-01-31-13-15-39,3,15,0.6319429214769118,right,probe,biased-switch,-1,-12,right,right,0.943
CKB1999WRNO,2020-01-31-13-15-39,3,16,0.5786087657678655,right,both,biased-switch,63,-12,right,right,0.669
CKB1999WRNO,2020-01-31-13-15-39,3,17,0.5239399051063237,right,probe,ambiguous-switch,-1,24,right,right,1.092
CKB1999WRNO,2020-01-31-13-15-39,3,18,0.5029886094917294,right,both,ambiguous-switch,62,24,right,right,0.699
CKB1999WRNO,2020-01-31-13-15-39,3,19,0.6644607508828987,right,probe,ambiguous-stable,-1,18,right,right,1.252
CKB1999WRNO,2020-01-31-13-15-39,3,20,0.5539991356580733,right,both,ambiguous-stable,62,18,left,right,0.694
CKB1999WRNO,2020-01-31-13-15-39,3,21,0.6894318232717109,right,probe,biased-switch,-1,-6,right,right,1.015
CKB1999WRNO,2020-01-31-13-15-39,3,22,0.6339241221503238,right,both,biased-switch,63,-6,right,right,0.5
CKB1999WRNO,2020-01-31-13-15-39,3,23,0.6498442484571416,right,probe,biased-switch,-1,-3,right,right,0.698
CKB1999WRNO,2020-01-31-13-15-39,3,24,0.6867178879617918,right,both,biased-switch,59,-3,right,right,0.505
CKB1999WRNO,2020-01-31-13-15-39,3,25,0.6628103690288399,left,probe,ambiguous-switch,-1,18,left,left,0.725
CKB1999WRNO,2020-01-31-13-15-39,3,26,0.5949404040437856,left,both,ambiguous-switch,55,18,left,left,0.478
CKB1999WRNO,2020-01-31-13-15-39,3,27,0.6255359462949881,right,probe,ambiguous-stable,-1,6,right,right,0.716
CKB1999WRNO,2020-01-31-13-15-39,3,28,0.6689581329149586,right,both,ambiguous-stable,62,6,left,right,0.557
CKB1999WRNO,2020-01-31-13-15-39,3,29,0.660069613995537,left,probe,ambiguous-switch,-1,-6,left,left,1.327
CKB1999WRNO,2020-01-31-13-15-39,3,30,0.5243798197324293,left,both,ambiguous-switch,63,-6,left,left,0.667
CKB1999WRNO,2020-01-31-13-15-39,3,31,0.6519132479020672,right,probe,ambiguous-switch,-1,12,right,right,0.86
CKB1999WRNO,2020-01-31-13-15-39,3,32,0.580173688971692,right,both,ambiguous-switch,58,12,right,right,0.531
CKB1999WRNO,2020-01-31-13-15-39,3,33,0.6569277421588893,right,probe,ambiguous-stable,-1,0,right,right,0.541
CKB1999WRNO,2020-01-31-13-15-39,3,34,0.6477222298585619,right,both,ambiguous-stable,58,0,left,right,0.585
CKB1999WRNO,2020-01-31-13-15-39,3,35,0.6742621815534839,right,probe,biased-switch,-1,6,right,right,0.798
CKB1999WRNO,2020-01-31-13-15-39,3,36,0.6502922951689807,right,both,biased-switch,59,6,right,right,0.37
CKB1999WRNO,2020-01-31-13-15-39,3,37,0.5153221977218724,right,probe,ambiguous-switch,-1,-18,right,right,0.653
CKB1999WRNO,2020-01-31-13-15-39,3,38,0.6050702560047747,right,both,ambiguous-switch,58,-18,right,right,0.609
CKB1999WRNO,2020-01-31-13-15-39,3,39,0.5260775531474571,right,probe,ambiguous-stable,-1,-3,right,right,0.701
CKB1999WRNO,2020-01-31-13-15-39,3,40,0.5949456643836619,right,both,ambiguous-stable,55,-3,left,right,0.599
CKB1999WRNO,2020-01-31-13-15-39,3,41,0.5490866712229081,left,probe,ambiguous-stable,-1,-18,left,left,0.645
CKB1999WRNO,2020-01-31-13-15-39,3,42,0.5087551354430911,left,both,ambiguous-stable,56,-18,right,left,0.55
CKB1999WRNO,2020-01-31-13-15-39,3,43,0.6622691010432716,left,probe,ambiguous-stable,-1,3,left,left,0.653
CKB1999WRNO,2020-01-31-13-15-39,3,44,0.6558629904979139,left,both,ambiguous-stable,59,3,right,left,0.548
CKB1999WRNO,2020-01-31-13-15-39,3,45,0.5196956893746355,right,probe,biased-switch,-1,18,right,right,0.782
CKB1999WRNO,2020-01-31-13-15-39,3,46,0.6568097211806134,right,both,biased-switch,63,18,right,right,0.464
CKB1999WRNO,2020-01-31-13-15-39,3,47,0.557466687483216,right,probe,biased-switch,-1,3,right,right,0.865
CKB1999WRNO,2020-01-31-13-15-39,3,48,0.5205922460836858,right,both,biased-switch,55,3,right,right,0.535
CKB1999WRNO,2020-01-31-13-15-39,3,49,0.5925310541825867,left,probe,ambiguous-switch,-1,-3,left,left,0.615
CKB1999WRNO,2020-01-31-13-15-39,3,50,0.6597974527789869,left,both,ambiguous-switch,57,-3,left,left,0.559
CKB1999WRNO,2020-01-31-13-15-39,3,51,0.6517450741342512,left,probe,ambiguous-stable,-1,-12,left,left,0.696
CKB1999WRNO,2020-01-31-13-15-39,3,52,0.6098742391861087,left,both,ambiguous-stable,62,-12,right,left,0.723
CKB1999WRNO,2020-01-31-13-15-39,3,53,0.6271814750341886,left,probe,ambiguous-switch,-1,0,left,left,0.843
CKB1999WRNO,2020-01-31-13-15-39,3,54,0.5404113251794644,left,both,ambiguous-switch,64,0,left,left,0.468
CKB1999WRNO,2020-01-31-13-15-39,3,55,0.6066641712145471,right,probe,ambiguous-stable,-1,24,right,right,0.662
CKB1999WRNO,2020-01-31-13-15-39,3,56,0.5523398307459275,right,both,ambiguous-stable,59,24,left,right,0.932
CKB1999WRNO,2020-01-31-13-15-39,3,57,0.6599605258069074,right,probe,ambiguous-stable,-1,12,right,right,0.82
CKB1999WRNO,2020-01-31-13-15-39,3,58,0.5388138980949477,right,both,ambiguous-stable,58,12,left,right,0.529
CKB1999WRNO,2020-01-31-13-15-39,3,59,0.6207046379143758,left,probe,ambiguous-switch,-1,-12,left,left,0.708
CKB1999WRNO,2020-01-31-13-15-39,3,60,0.628406174838178,left,both,ambiguous-switch,61,-12,left,left,0.55
CKB1999WRNO,2020-01-31-13-15-39,4,1,0.6524596313025703,right,probe,ambiguous-switch,-1,6,right,right,0.499
CKB1999WRNO,2020-01-31-13-15-39,4,2,0.6824726262284522,right,both,ambiguous-switch,64,6,right,right,0.612
CKB1999WRNO,2020-01-31-13-15-39,4,3,0.6716870854664028,left,probe,ambiguous-stable,-1,12,left,left,1.169
CKB1999WRNO,2020-01-31-13-15-39,4,4,0.5668009286718669,left,both,ambiguous-stable,59,12,right,left,0.756
CKB1999WRNO,2020-01-31-13-15-39,4,5,0.6338175543895853,right,probe,biased-switch,-1,0,right,right,0.765
CKB1999WRNO,2020-01-31-13-15-39,4,6,0.6455612380583823,right,both,biased-switch,55,0,right,right,0.504
CKB1999WRNO,2020-01-31-13-15-39,4,7,0.5979407602762112,right,probe,ambiguous-stable,-1,3,right,right,0.648
CKB1999WRNO,2020-01-31-13-15-39,4,8,0.5589780486691762,right,both,ambiguous-stable,58,3,left,right,0.578
CKB1999WRNO,2020-01-31-13-15-39,4,9,0.6360591889753628,left,probe,ambiguous-stable,-1,0,left,left,0.454
CKB1999WRNO,2020-01-31-13-15-39,4,10,0.6145529560283451,left,both,ambiguous-stable,59,0,right,left,0.495
CKB1999WRNO,2020-01-31-13-15-39,4,11,0.5298370694129464,left,probe,biased-switch,-1,3,left,left,1.334
CKB1999WRNO,2020-01-31-13-15-39,4,12,0.5804564980382423,left,both,biased-switch,61,3,left,left,0.305
CKB1999WRNO,2020-01-31-13-15-39,4,13,0.5700389912616596,left,probe,ambiguous-stable,-1,-18,left,left,0.559
CKB1999WRNO,2020-01-31-13-15-39,4,14,0.5699852531034095,left,both,ambiguous-stable,56,-18,right,left,0.482
CKB1999WRNO,2020-01-31-13-15-39,4,15,0.5425843777362391,left,probe,biased-switch,-1,6,left,left,0.626
CKB1999WRNO,2020-01-31-13-15-39,4,16,0.6646022680212541,left,both,biased-switch,61,6,left,left,0.409
CKB1999WRNO,2020-01-31-13-15-39,4,17,0.69425913273965,right,probe,ambiguous-stable,-1,-6,right,right,0.605
CKB1999WRNO,2020-01-31-13-15-39,4,18,0.5374941931830411,right,both,ambiguous-stable,60,-6,left,right,0.482
CKB1999WRNO,2020-01-31-13-15-39,4,19,0.6307692411598987,left,probe,ambiguous-stable,-1,24,left,left,0.59
